prop_lep_cope,all_cope,.fitted,.resid,.std.resid,.hat,.sigma,.cooksd
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115283,2.5260053934653186e-4,1.1255200756314756,9.490224786010442e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277017e-4,1.125513638669116,8.050699924685048e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,3,0.3883235963581541,1.0175632935102692,1.0179524573354521,7.644550265564977e-4,1.125526115276401,2.596207504934843e-4
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,3,0.3883235963581541,1.0175632935102692,1.0179524573354521,7.644550265564977e-4,1.125526115276401,2.596207504934843e-4
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,4,0.49032715523936815,0.9774864490535932,0.978317643775843,0.0016985109676772503,1.1255317734727122,5.218774651312148e-4
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,3,0.3883235963581541,1.0175632935102692,1.0179524573354521,7.644550265564977e-4,1.125526115276401,2.596207504934843e-4
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,3,0.3883235963581541,1.0175632935102692,1.0179524573354521,7.644550265564977e-4,1.125526115276401,2.596207504934843e-4
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,3,0.3883235963581541,1.0175632935102692,1.0179524573354521,7.644550265564977e-4,1.125526115276401,2.596207504934843e-4
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,4,0.49032715523936815,0.9774864490535932,0.978317643775843,0.0016985109676772503,1.1255317734727122,5.218774651312148e-4
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,2,0.2863200374769401,1.0584892483015425,1.0586229611115263,2.526005393426598e-4,1.1255200756314756,9.490224785864894e-5
1,1,0.18431647859572609,1.1002086295390463,1.100315105420814,1.935277076277021e-4,1.125513638669116,8.050699924685066e-5
1,3,0.3883235963581541,1.0175632935102692,1.0179524573354521,7.644550265564977e-4,1.125526115276401,2.596207504934843e-4
