parameter,location,species,year,datavalue
Total exploitation rate,Bella Coola-Bentinck,Chinook,1985,0.322959183
Total exploitation rate,Bella Coola-Bentinck,Chinook,1986,0.322959183
Total exploitation rate,Bella Coola-Bentinck,Chinook,1987,0.322959183
Total exploitation rate,Bella Coola-Bentinck,Chinook,1988,0.322959183
Total exploitation rate,Bella Coola-Bentinck,Chinook,1989,0.322959183
Total exploitation rate,Bella Coola-Bentinck,Chinook,1990,0.434455457
Total exploitation rate,Bella Coola-Bentinck,Chinook,1991,0.259515744
Total exploitation rate,Bella Coola-Bentinck,Chinook,1992,0.354747967
Total exploitation rate,Bella Coola-Bentinck,Chinook,1993,0.327878555
Total exploitation rate,Bella Coola-Bentinck,Chinook,1994,0.238198194
Total exploitation rate,Bella Coola-Bentinck,Chinook,1995,0.278093655
Total exploitation rate,Bella Coola-Bentinck,Chinook,1996,0.24584369
Total exploitation rate,Bella Coola-Bentinck,Chinook,1997,0.330671146
Total exploitation rate,Bella Coola-Bentinck,Chinook,1998,0.388842628
Total exploitation rate,Bella Coola-Bentinck,Chinook,1999,0.283025225
Total exploitation rate,Bella Coola-Bentinck,Chinook,2000,0.298492035
Total exploitation rate,Bella Coola-Bentinck,Chinook,2001,0.343443675
Total exploitation rate,Bella Coola-Bentinck,Chinook,2002,0.42501759
Total exploitation rate,Bella Coola-Bentinck,Chinook,2003,0.489855138
Total exploitation rate,Bella Coola-Bentinck,Chinook,2004,0.467496975
Total exploitation rate,Bella Coola-Bentinck,Chinook,2005,0.559134032
Total exploitation rate,Bella Coola-Bentinck,Chinook,2006,0.347988412
Total exploitation rate,Bella Coola-Bentinck,Chinook,2007,0.472575931
Total exploitation rate,Bella Coola-Bentinck,Chinook,2008,0.33206604
Total exploitation rate,Bella Coola-Bentinck,Chinook,2009,0.494431363
Total exploitation rate,Bella Coola-Bentinck,Chinook,2010,0.484603055
Total exploitation rate,Bella Coola-Bentinck,Chinook,2011,0.566814622
Total exploitation rate,Bella Coola-Bentinck,Chinook,2012,0.454042898
Total exploitation rate,Bella Coola-Bentinck,Chinook,2013,0.334786754
Total exploitation rate,Bella Coola-Bentinck,Chinook,2014,0.383685649
Total exploitation rate,Bella Coola-Bentinck,Chinook,2015,0.302947642
Total exploitation rate,Bella Coola-Bentinck,Chinook,2016,0.376821745
Total exploitation rate,Bella Coola-Bentinck,Chinook,2017,0.383462794
Total exploitation rate,Dean River,Chinook,1985,0.203477605
Total exploitation rate,Dean River,Chinook,1986,0.203477605
Total exploitation rate,Dean River,Chinook,1987,0.203477605
Total exploitation rate,Dean River,Chinook,1988,0.203477605
Total exploitation rate,Dean River,Chinook,1989,0.203477605
Total exploitation rate,Dean River,Chinook,1990,0.333333333
Total exploitation rate,Dean River,Chinook,1991,0.130829016
Total exploitation rate,Dean River,Chinook,1992,0.197556008
Total exploitation rate,Dean River,Chinook,1993,0.209285188
Total exploitation rate,Dean River,Chinook,1994,0.14638448
Total exploitation rate,Dean River,Chinook,1995,0.109782144
Total exploitation rate,Dean River,Chinook,1996,0.051531356
Total exploitation rate,Dean River,Chinook,1997,0.113772455
Total exploitation rate,Dean River,Chinook,1998,0.140433553
Total exploitation rate,Dean River,Chinook,1999,0.126038781
Total exploitation rate,Dean River,Chinook,2000,0.100478469
Total exploitation rate,Dean River,Chinook,2001,0.119117647
Total exploitation rate,Dean River,Chinook,2002,0.197580645
Total exploitation rate,Dean River,Chinook,2003,0.236220472
Total exploitation rate,Dean River,Chinook,2004,0.212298682
Total exploitation rate,Dean River,Chinook,2005,0.320815451
Total exploitation rate,Dean River,Chinook,2006,0.194659171
Total exploitation rate,Dean River,Chinook,2007,0.215686275
Total exploitation rate,Dean River,Chinook,2008,0.116883117
Total exploitation rate,Dean River,Chinook,2009,0.17810219
Total exploitation rate,Dean River,Chinook,2010,0.232643118
Total exploitation rate,Dean River,Chinook,2011,0.312280702
Total exploitation rate,Dean River,Chinook,2012,0.198366394
Total exploitation rate,Dean River,Chinook,2013,0.084333333
Total exploitation rate,Dean River,Chinook,2014,0.149098686
Total exploitation rate,Dean River,Chinook,2015,0.193502658
Total exploitation rate,Dean River,Chinook,2016,0.17370892
